year,agegrp,sex,dimd,population_size,clbr,population_size_calibrated
2013,45-49,men,7,200390,1939699,201315.036338112
2013,45-49,men,8,202560,1939699,203495.053449015
2013,45-49,men,9,205019,1939699,205965.404635977
2013,45-49,men,10 least deprived,207159,1939699,208115.283261475
2013,50-54,men,1 most deprived,157054,1792829,157456.52758629
2013,50-54,men,2,161551,1792829,161965.0533453
2013,50-54,men,3,166845,1792829,167272.621806095
2013,50-54,men,4,173618,1792829,174062.980926792
2013,50-54,men,5,179960,1792829,180421.235399472
2013,50-54,men,6,185588,1792829,186063.659898406
2013,50-54,men,7,188861,1792829,189345.048559567
2013,50-54,men,8,189655,1792829,190141.083572388
2013,50-54,men,9,193026,1792829,193520.723406415
2013,50-54,men,10 least deprived,196671,1792829,197175.065499275
2013,55-59,men,1 most deprived,132532,1539583,132620.923790403
2013,55-59,men,2,133556,1539583,133645.610854368
2013,55-59,men,3,139230,1539583,139323.417886532
2013,55-59,men,4,148095,1539583,148194.365954937
2013,55-59,men,5,155561,1539583,155665.375349039
2013,55-59,men,6,162235,1539583,162343.853342106
2013,55-59,men,7,165084,1539583,165194.764909719
2013,55-59,men,8,165365,1539583,165475.953449733
2013,55-59,men,9,167970,1539583,168082.701302885
2013,55-59,men,10 least deprived,169955,1539583,170069.033160278
2013,60-64,men,1 most deprived,116370,1440004,116342.847075425
2013,60-64,men,2,116383,1440004,116355.8440421
2013,60-64,men,3,125024,1440004,124994.827814367
2013,60-64,men,4,137203,1440004,137170.986055594
2013,60-64,men,5,148284,1440004,148249.40049611
2013,60-64,men,6,155273,1440004,155236.769733973
2013,60-64,men,7,159694,1440004,159656.738170172
2013,60-64,men,8,160190,1440004,160152.62243716
2013,60-64,men,9,160737,1440004,160699.494804181
2013,60-64,men,10 least deprived,160846,1440004,160808.469370918
2013,65-69,men,1 most deprived,101365,1419680,101188.356664882
2013,65-69,men,2,103280,1419680,103100.019497352
2013,65-69,men,3,115159,1419680,114958.318602784
2013,65-69,men,4,131333,1419680,131104.133042658
2013,65-69,men,5,147096,1419680,146839.663710132
2013,65-69,men,6,156526,1419680,156253.230556182
2013,65-69,men,7,163960,1419680,163674.275724107
2013,65-69,men,8,164542,1419680,164255.261504001
2013,65-69,men,9,167933,1419680,167640.352190635
2013,65-69,men,10 least deprived,168486,1419680,168192.388507269
2013,70-74,men,1 most deprived,73529,998923,73470.1869873854
2013,70-74,men,2,75751,998923,75690.4096952418
2013,70-74,men,3,81712,998923,81646.6417211337
2013,70-74,men,4,93873,998923,93797.9146060307
2013,70-74,men,5,103632,998923,103549.108758133
2013,70-74,men,6,110810,998923,110721.367352639
2013,70-74,men,7,113941,998923,113849.862986436
2013,70-74,men,8,115027,998923,114934.994336901
2013,70-74,men,9,115717,998923,115624.4424325
2013,70-74,men,10 least deprived,114931,998923,114839.0711236
2013,75-79,men,1 most deprived,57857,798929,57682.1824655257
2013,75-79,men,2,60076,798929,59894.4776569633
2013,75-79,men,3,65994,798929,65794.5961531
2013,75-79,men,4,73957,798929,73733.5355895205
2013,75-79,men,5,82260,798929,82011.4477006092
2013,75-79,men,6,88066,798929,87799.9046097964
2013,75-79,men,7,91199,798929,90923.4381090184
2013,75-79,men,8,91144,798929,90868.6042939986
2013,75-79,men,9,93681,798929,93397.9386340964
2013,75-79,men,10 least deprived,94695,798929,94408.8747873716
2013,80-84,men,1 most deprived,38203,549133,38057.1819777722
2013,80-84,men,2,40766,549133,40610.3991965517
2013,80-84,men,3,44760,549133,44589.1543942906
2013,80-84,men,4,50933,549133,50738.5925103755
2013,80-84,men,5,56239,549133,56024.3399012625
2013,80-84,men,6,60594,549133,60362.7171887321
2013,80-84,men,7,62507,549133,62268.4154093817
2013,80-84,men,8,62954,549133,62713.7092434802
2013,80-84,men,9,64819,549133,64571.5906765756
2013,80-84,men,10 least deprived,67358,549133,67100.8995015779
2013,85-89,men,1 most deprived,19582,291910,19485.5356239937
2013,85-89,men,2,21726,291910,21618.9739029153
2013,85-89,men,3,24028,291910,23909.6338460484
2013,85-89,men,4,27203,291910,27068.9932376417
2013,85-89,men,5,30151,291910,30002.4708711589
2013,85-89,men,6,32276,291910,32117.0027474222
2013,85-89,men,7,33351,291910,33186.7071083553
2013,85-89,men,8,33303,291910,33138.9435647974
2013,85-89,men,9,34592,291910,34421.593724093
2013,85-89,men,10 least deprived,35698,291910,35522.145373574
2013,90-94,men,1 most deprived,6840,105469,7069.70996216898
2013,90-94,men,2,7750,105469,8010.27079046924
2013,90-94,men,3,8882,105469,9180.28711754165
2013,90-94,men,4,10001,105469,10336.8668613526
2013,90-94,men,5,11007,105469,11376.6516891219
2013,90-94,men,6,11945,105469,12346.1528506007
2013,90-94,men,7,11822,105469,12219.0221012809
2013,90-94,men,8,12453,105469,12871.2131811243
2013,90-94,men,9,12260,105469,12671.7315988584
2013,90-94,men,10 least deprived,12509,105469,12929.0938474813
2013,95-99,men,1 most deprived,1405,21674,1147.84234566762
2013,95-99,men,2,1592,21674,1300.61566854295
2013,95-99,men,3,1825,21674,1490.96959490634
2013,95-99,men,4,2055,21674,1678.87261234659
2013,95-99,men,5,2262,21674,1847.98532804282
2013,95-99,men,6,2455,21674,2005.66046876442
2013,95-99,men,7,2430,21674,1985.2362277383
2013,95-99,men,8,2559,21674,2090.62531143305
2013,95-99,men,9,2520,21674,2058.76349543232
