year,age,sex,pops
27,35,women,437816
27,36,men,420656
27,36,women,440522
27,37,men,415754
27,37,women,438765
27,38,men,409310
27,38,women,433904
27,39,men,409603
27,39,women,437596
27,40,men,397142
27,40,women,426295
27,41,men,393484
27,41,women,418601
27,42,men,390346
27,42,women,414438
27,43,men,376224
27,43,women,400401
27,44,men,374742
27,44,women,398510
27,45,men,372825
27,45,women,393831
27,46,men,374968
27,46,women,396952
27,47,men,376291
27,47,women,396057
27,48,men,361349
27,48,women,377794
27,49,men,337162
27,49,women,350008
27,50,men,330756
27,50,women,342080
27,51,men,336876
27,51,women,347885
27,52,men,342908
27,52,women,353956
27,53,men,345910
27,53,women,357140
27,54,men,358376
27,54,women,369372
27,55,men,370274
27,55,women,382232
27,56,men,380812
27,56,women,396743
27,57,men,370503
27,57,women,385348
27,58,men,377376
27,58,women,392548
27,59,men,374793
27,59,women,390496
27,60,men,376500
27,60,women,390872
27,61,men,371433
27,61,women,389678
27,62,men,370446
27,62,women,389146
27,63,men,363380
27,63,women,382369
27,64,men,353034
27,64,women,371701
27,65,men,342446
27,65,women,361440
27,66,men,328941
27,66,women,345224
27,67,men,312925
27,67,women,329760
27,68,men,301593
27,68,women,319940
27,69,men,290634
27,69,women,309198
27,70,men,274786
27,70,women,295882
27,71,men,261722
27,71,women,282072
27,72,men,247017
27,72,women,270407
27,73,men,242992
27,73,women,269150
27,74,men,235198
27,74,women,261046
27,75,men,222848
27,75,women,252176
27,76,men,219670
27,76,women,249843
27,77,men,216631
27,77,women,250852
27,78,men,216361
27,78,women,251925
27,79,men,221166
27,79,women,261423
27,80,men,232506
27,80,women,276056
27,81,men,169874
27,81,women,206135
27,82,men,156666
27,82,women,193414
27,83,men,147614
27,83,women,185025
27,84,men,127132
27,84,women,164462
27,85,men,104865
27,85,women,139859
27,86,men,85472
27,86,women,118196
27,87,men,80810
27,87,women,114790
27,88,men,71723
27,88,women,105148
27,89,men,61586
27,89,women,93094
27,90,men,50706
27,90,women,79678
27,91,men,40739
27,91,women,67119
27,92,men,32387
27,92,women,55458
27,93,men,24465
27,93,women,44152
27,94,men,18546
27,94,women,35228
27,95,men,13932
27,95,women,28196
27,96,men,9855
27,96,women,21378
27,97,men,6674
27,97,women,15834
27,98,men,4225
27,98,women,10891
27,99,men,5955
27,99,women,18693
28,30,men,400310
28,30,women,404159
28,31,men,406276
28,31,women,413425
28,32,men,402662
28,32,women,412102
28,33,men,406960
28,33,women,420623
28,34,men,414404
28,34,women,430940
28,35,men,412371
28,35,women,430456
28,36,men,420129
28,36,women,439906
28,37,men,422366
28,37,women,442280
28,38,men,417050
28,38,women,440207
28,39,men,410300
28,39,women,435129
28,40,men,410297
28,40,women,438670
28,41,men,397567
28,41,women,427209
28,42,men,393722
28,42,women,419283
28,43,men,390440
28,43,women,414940
28,44,men,376192
28,44,women,400780
28,45,men,374564
28,45,women,398696
28,46,men,372544
28,46,women,393874
28,47,men,374574
28,47,women,396916
28,48,men,375780
28,48,women,395902
28,49,men,360774
28,49,women,377560
28,50,men,336563
28,50,women,349720
28,51,men,330042
28,51,women,341665
28,52,men,335990
28,52,women,347296
28,53,men,341841
28,53,women,353230
28,54,men,344651
28,54,women,356252
28,55,men,356875
28,55,women,368302
28,56,men,368543
28,56,women,381020
28,57,men,378860
28,57,women,395352
28,58,men,368412
28,58,women,383894
28,59,men,375046
28,59,women,390942
28,60,men,372260
28,60,women,388734
28,61,men,373693
28,61,women,388958
28,62,men,368403
28,62,women,387591
28,63,men,367152
28,63,women,386878
28,64,men,359834
28,64,women,379975
28,65,men,349265
28,65,women,369194
28,66,men,338466
28,66,women,358816
28,67,men,324802
28,67,women,342514
28,68,men,308670
28,68,women,326922
28,69,men,297134
28,69,women,316901
28,70,men,285925
28,70,women,305957
28,71,men,269896
28,71,women,292436
28,72,men,256604
28,72,women,278413
28,73,men,241682
28,73,women,266486
28,74,men,237160
28,74,women,264798
28,75,men,228932
28,75,women,256344
28,76,men,216258
28,76,women,247073
28,77,men,212460
28,77,women,244161
28,78,men,208714
28,78,women,244427
28,79,men,207532
28,79,women,244642
28,80,men,211080
28,80,women,252862
28,81,men,220610
28,81,women,265772
28,82,men,160096
28,82,women,197394
28,83,men,146480
28,83,women,184046
28,84,men,136766
28,84,women,174765
28,85,men,116574
28,85,women,154024
28,86,men,95056
28,86,women,129732
28,87,men,76516
28,87,women,108466
28,88,men,71349
28,88,women,104067
28,89,men,62386
28,89,women,94059
28,90,men,52700
28,90,women,82050
28,91,men,42606
28,91,women,69056
28,92,men,33542
28,92,women,57086
28,93,men,26069
28,93,women,46195
28,94,men,19202
28,94,women,35945
28,95,men,14157
28,95,women,27972
28,96,men,10315
28,96,women,21774
28,97,men,7057
28,97,women,15998
28,98,men,4608
28,98,women,11442
28,99,men,6381
28,99,women,19238
29,30,men,405048
29,30,women,405420
29,31,men,405035
29,31,women,408770
29,32,men,410360
29,32,women,417328
29,33,men,405971
29,33,women,415282
29,34,men,410024
29,34,women,423505
29,35,men,417126
29,35,women,433467
29,36,men,414560
29,36,women,432558
29,37,men,421840
29,37,women,441663
29,38,men,423655
29,38,women,443715
29,39,men,418032
29,39,women,441428
29,40,men,410993
29,40,women,436204
29,41,men,410704
29,41,women,439570
29,42,men,397801
29,42,women,427884
29,43,men,393808
29,43,women,419778
29,44,men,390382
29,44,women,415302
29,45,men,376014
29,45,women,400966
29,46,men,374282
29,46,women,398736
29,47,men,372160
29,47,women,393846
29,48,men,374068
29,48,women,396758
29,49,men,375162
29,49,women,395632
29,50,men,360105
29,50,women,377220
29,51,men,335840
29,51,women,349296
29,52,men,329191
29,52,women,341101
29,53,men,334960
29,53,women,346600
29,54,men,340614
29,54,women,352371
29,55,men,343230
29,55,women,355240
29,56,men,355230
29,56,women,367158
29,57,men,366672
29,57,women,379696
29,58,men,376746
29,58,women,393878
29,59,men,366161
29,59,women,382340
29,60,men,372538
29,60,women,389196
29,61,men,369512
29,61,women,386850
29,62,men,370677
29,62,women,386896
29,63,men,365160
29,63,women,385354
29,64,men,363602
29,64,women,384475
29,65,men,356026
29,65,women,377430
29,66,men,345242
29,66,women,366535
29,67,men,334245
29,67,women,356021
29,68,men,320428
29,68,women,339589
29,69,men,304150
29,69,women,323842
29,70,men,292365
29,70,women,313607
29,71,men,280884
29,71,women,302423
29,72,men,264666
29,72,women,288672
29,73,men,251110
29,73,women,274408
29,74,men,235932
29,74,women,262212
29,75,men,230892
29,75,women,260064
29,76,men,222214
29,76,women,251194
29,77,men,209217
29,77,women,241498
29,78,men,204760
29,78,women,237959
29,79,men,200273
29,79,women,237420
29,80,men,198160
29,80,women,236702
29,81,men,200392
29,81,women,243530
29,82,men,208040
29,82,women,254602
29,83,men,149796
29,83,women,187920
29,84,men,135825
29,84,women,173928
29,85,men,125516
29,85,women,163760
29,86,men,105766
29,86,women,142950
29,87,men,85175
29,87,women,119122
29,88,men,67623
29,88,women,98396
29,89,men,62128
29,89,women,93159
29,90,men,53448
29,90,women,82970
29,91,men,44340
29,91,women,71183
29,92,men,35131
29,92,women,58801
29,93,men,27043
29,93,women,47611
29,94,men,20498
29,94,women,37660
29,95,men,14686
29,95,women,28584
29,96,men,10504
29,96,women,21634
29,97,men,7403
29,97,women,16320
29,98,men,4884
29,98,women,11578
29,99,men,6905
29,99,women,19994
30,30,men,401277
30,30,women,397200
30,31,men,409775
30,31,women,410036
30,32,men,409122
30,32,women,412673
30,33,men,413664
30,33,women,420504
30,34,men,409039
30,34,women,418172
30,35,men,412754
30,35,women,426041
30,36,men,419318
30,36,women,435574
30,37,men,416284
30,37,women,434326
30,38,men,423130
30,38,women,443098
30,39,men,424630
30,39,women,444933
30,40,men,418718
30,40,women,442502
30,41,men,411402
30,41,women,437106
30,42,men,410920
30,42,women,440230
30,43,men,397884
30,43,women,428370
30,44,men,393744
30,44,women,420132
30,45,men,390178
30,45,women,415470
30,46,men,375733
30,46,women,401006
30,47,men,373898
30,47,women,398704
30,48,men,371665
30,48,women,393697
30,49,men,373457
30,49,women,396487
30,50,men,374448
30,50,women,395252
30,51,men,359308
30,51,women,376738
30,52,men,334978
30,52,women,348724
30,53,men,328198
30,53,women,340433
30,54,men,333774
30,54,women,345772
30,55,men,339230
30,55,women,351389
30,56,men,341673
30,56,women,354158
30,57,men,353450
30,57,women,365905
30,58,men,364644
30,58,women,378295
30,59,men,374470
30,59,women,392301
30,60,men,363738
30,60,women,380650
30,61,men,369816
30,61,women,387328
30,62,men,366560
30,62,women,384818
30,63,men,367450
30,63,women,384685
30,64,men,361664
30,64,women,382984
30,65,men,359791
30,65,women,381922
30,66,men,351964
30,66,women,374735
30,67,men,340976
30,67,women,363704
30,68,men,329784
30,68,women,353006
30,69,men,315781
30,69,women,336419
30,70,men,299316
30,70,women,320506
30,71,men,287260
30,71,women,310016
30,72,men,275492
30,72,women,298564
30,73,men,259051
30,73,women,284554
30,74,men,245188
30,74,women,270042
30,75,men,229753
30,75,women,257562
30,76,men,224174
30,76,women,254880
30,77,men,215036
30,77,women,245570
30,78,men,201696
30,78,women,235412
30,79,men,196548
30,79,women,231194
30,80,men,191308
30,80,women,229780
30,81,men,188220
30,81,women,228044
30,82,men,189091
30,82,women,233389
30,83,men,194788
30,83,women,242487
30,84,men,139012
30,84,women,177680
30,85,men,124763
30,85,women,163067
30,86,men,113986
30,86,women,152078
30,87,men,94866
30,87,women,131342
30,88,men,75354
30,88,women,108134
30,89,men,58944
30,89,women,88144
30,90,men,53287
30,90,women,82242
30,91,men,45025
30,91,women,72046
30,92,men,36611
30,92,women,60676
30,93,men,28367
30,93,women,49100
30,94,men,21299
30,94,women,38866
30,95,men,15706
30,95,women,29990
30,96,men,10918
30,96,women,22142
30,97,men,7555
30,97,women,16242
30,98,men,5135
30,98,women,11830
30,99,men,7422
30,99,women,20603
31,30,men,401949
31,30,women,395734
31,31,men,406010
31,31,women,401824
31,32,men,413864
31,32,women,413944
31,33,men,412430
31,33,women,415848
31,34,men,416728
31,34,women,423387
31,35,men,411772
31,35,women,420716
31,36,men,414952
31,36,women,428156
31,37,men,421042
31,37,women,437348
31,38,men,417586
31,38,women,435771
31,39,men,424107
31,39,women,444312
31,40,men,425310
31,40,women,446000
31,41,men,419119
31,41,women,443402
31,42,men,411619
31,42,women,437770
31,43,men,410982
31,43,women,440703
31,44,men,397816
31,44,women,428717
31,45,men,393532
31,45,women,420294
31,46,men,389866
31,46,women,415493
31,47,men,375348
31,47,women,400975
31,48,men,373404
31,48,women,398552
31,49,men,371066
31,49,women,393436
31,50,men,372750
31,50,women,396106
31,51,men,373602
31,51,women,394734
31,52,men,358370
31,52,women,376110
31,53,men,333976
31,53,women,348048
31,54,men,327053
31,54,women,339634
31,55,men,332433
31,55,women,344824
31,56,men,337710
31,56,women,350338
31,57,men,339986
31,57,women,352970
31,58,men,351522
31,58,women,364578
31,59,men,362462
31,59,women,376797
31,60,men,372020
31,60,women,390588
31,61,men,361108
31,61,women,378844
31,62,men,366890
31,62,women,385314
31,63,men,363400
31,63,women,382640
31,64,men,363970
31,64,women,382344
31,65,men,357912
31,65,women,380468
31,66,men,355726
31,66,women,379219
31,67,men,347658
31,67,women,371866
31,68,men,336470
31,68,women,360652
31,69,men,325048
31,69,women,349738
31,70,men,310812
31,70,women,332985
31,71,men,294142
31,71,women,316871
31,72,men,281800
31,72,women,306096
31,73,men,269702
31,73,women,294342
31,74,men,252998
31,74,women,280063
31,75,men,238824
31,75,women,265292
31,76,men,223128
31,76,women,252472
31,77,men,216994
31,77,women,249218
31,78,men,207369
31,78,women,239429
31,79,men,193673
31,79,women,228772
31,80,men,187824
31,80,women,223815
31,81,men,181796
31,81,women,221446
31,82,men,177705
31,82,women,218632
31,83,men,177166
31,83,women,222386
31,84,men,180898
31,84,women,229388
31,85,men,127802
31,85,women,166680
31,86,men,113412
31,86,women,151529
31,87,men,102342
31,87,women,139822
31,88,men,84016
31,88,women,119312
31,89,men,65756
31,89,women,96938
31,90,men,50613
31,90,women,77874
31,91,men,44943
31,91,women,71475
31,92,men,37225
31,92,women,61471
31,93,men,29604
31,93,women,50723
31,94,men,22377
31,94,women,40132
31,95,men,16348
31,95,women,30993
31,96,men,11698
31,96,women,23265
31,97,men,7869
31,97,women,16649
31,98,men,5252
31,98,women,11793
31,99,men,7921
31,99,women,21188
32,30,men,407508
32,30,women,396678
32,31,men,406688
32,31,women,400364
32,32,men,410106
32,32,women,405742
32,33,men,417173
32,33,women,417123
32,34,men,415497
32,34,women,418732
32,35,men,419455
32,35,women,425926
32,36,men,413976
32,36,women,422840
32,37,men,416687
32,37,women,429938
32,38,men,422348
32,38,women,438797
32,39,men,418578
32,39,women,436998
32,40,men,424791
32,40,women,445380
32,41,men,425705
32,41,women,446896
32,42,men,419328
32,42,women,444062
32,43,men,411682
32,43,women,438246
32,44,men,410891
32,44,women,441034
32,45,men,397599
32,45,women,428868
32,46,men,393214
32,46,women,420308
32,47,men,389451
32,47,women,415442
32,48,men,374855
32,48,women,400824
32,49,men,372807
32,49,women,398288
32,50,men,370374
32,50,women,393066
32,51,men,371915
32,51,women,395586
32,52,men,372614
32,52,women,394065
32,53,men,357289
32,53,women,375372
32,54,men,332823
32,54,women,347242
32,55,men,325757
32,55,women,338717
32,56,men,330963
32,56,women,343808
32,57,men,336065
32,57,women,349184
32,58,men,338158
32,58,women,351714
32,59,men,349448
32,59,women,363158
32,60,men,360114
32,60,women,375166
32,61,men,369360
32,61,women,388754
32,62,men,358282
32,62,women,376896
32,63,men,363760
32,63,women,383155
32,64,men,359994
32,64,women,380334
32,65,men,360236
32,65,women,379858
32,66,men,353909
32,66,women,377804
32,67,men,351416
32,67,women,376342
32,68,men,343108
32,68,women,368774
32,69,men,331684
32,69,women,357345
32,70,men,319982
32,70,women,346200
32,71,men,305492
32,71,women,329244
32,72,men,288607
32,72,women,312904
32,73,men,275938
32,73,women,301810
32,74,men,263463
32,74,women,289741
32,75,men,246494
32,75,women,275181
32,76,men,232002
32,76,women,260094
32,77,men,216048
32,77,women,246912
32,78,men,209324
32,78,women,243037
32,79,men,199188
32,79,women,232730
32,80,men,185148
32,80,women,221529
32,81,men,178564
32,81,women,215763
32,82,men,171728
32,82,women,212383
32,83,men,166600
32,83,women,208415
32,84,men,164656
32,84,women,210482
32,85,men,166454
32,85,women,215312
32,86,men,116285
32,86,women,154986
32,87,men,101932
32,87,women,139414
32,88,men,90738
32,88,women,127110
32,89,men,73398
32,89,women,107041
32,90,men,56528
32,90,women,85710
32,91,men,42739
32,91,women,67735
32,92,men,37204
32,92,women,61040
32,93,men,30142
32,93,women,51440
32,94,men,23388
32,94,women,41507
32,95,men,17204
32,95,women,32045
32,96,men,12198
32,96,women,24077
32,97,men,8447
32,97,women,17520
32,98,men,5482
32,98,women,12108
32,99,men,8319
32,99,women,21560
33,30,men,415142
33,30,women,395376
33,31,men,412250
33,31,women,401308
33,32,men,410790
33,32,women,404286
33,33,men,413422
33,33,women,408930
33,34,men,420242
33,34,women,420011
33,35,men,418229
33,35,women,421272
33,36,men,421654
33,36,women,428045
33,37,men,415716
33,37,women,424630
33,38,men,418000
33,38,women,431398
33,39,men,423341
33,39,women,440028
33,40,men,419275
33,40,women,438078
33,41,men,425188
33,41,women,446276
33,42,men,425906
33,42,women,447551
33,43,men,419382
33,43,women,444534
33,44,men,411591
33,44,women,438582
33,45,men,410652
33,45,women,441170
33,46,men,397275
33,46,women,428874
33,47,men,392793
33,47,women,420250
33,48,men,388925
33,48,women,415270
33,49,men,374258
33,49,women,400562
33,50,men,372116
33,50,women,397916
33,51,men,369554
33,51,women,392560
33,52,men,370938
33,52,women,394919
33,53,men,371483
33,53,women,393286
33,54,men,356054
33,54,women,374500
33,55,men,331518
33,55,women,346316
33,56,men,324334
33,56,women,337736
33,57,men,329370
33,57,women,342692
33,58,men,334281
33,58,women,347964
33,59,men,336192
33,59,women,350368
33,60,men,347216
33,60,women,361612
33,61,men,357564
33,61,women,373424
33,62,men,366502
33,62,women,386778
33,63,men,355259
33,63,women,374808
33,64,men,360386
33,64,women,380870
33,65,men,356338
33,65,women,377888
33,66,men,356252
33,66,women,377226
33,67,men,349666
33,67,women,374968
33,68,men,346863
33,68,women,373243
33,69,men,338279
33,69,women,365424
33,70,men,326569
33,70,women,353764
33,71,men,314560
33,71,women,342346
33,72,men,299801
33,72,women,325162
33,73,men,282664
33,73,women,308566
33,74,men,269619
33,74,women,297138
33,75,men,256757
33,75,women,284737
33,76,men,239520
33,76,women,269837
33,77,men,224709
33,77,women,254418
33,78,men,208483
33,78,women,240844
33,79,men,201142
33,79,women,236296
33,80,men,190494
33,80,women,225424
33,81,men,176096
33,81,women,213626
33,82,men,168760
33,82,women,207006
33,83,men,161092
33,83,women,202541
33,84,men,154942
33,84,women,197353
33,85,men,151630
33,85,women,197678
33,86,men,151597
33,86,women,200337
33,87,men,104624
33,87,women,142696
33,88,men,90476
33,88,women,126834
33,89,men,79363
33,89,women,114128
33,90,men,63172
33,90,women,94721
33,91,men,47792
33,91,women,74615
33,92,men,35425
33,92,women,57898
33,93,men,30165
33,93,women,51130
33,94,men,23847
33,94,women,42140
33,95,men,18009
33,95,women,33183
33,96,men,12858
33,96,women,24928
33,97,men,8824
33,97,women,18158
33,98,men,5896
33,98,women,12761
33,99,men,8725
33,99,women,22037
34,30,men,421092
34,30,women,398940
34,31,men,419882
34,31,women,400008
34,32,men,416352
34,32,women,405230
34,33,men,414111
34,33,women,407480
34,34,men,416498
34,34,women,411830
34,35,men,422974
34,35,women,422556
34,36,men,420430
34,36,women,423392
34,37,men,423387
34,37,women,429830
34,38,men,417035
34,38,women,426098
34,39,men,419002
34,39,women,432641
34,40,men,424039
34,40,women,441112
34,41,men,419688
34,41,women,438985
34,42,men,425392
34,42,women,446932
34,43,men,425950
34,43,women,448020
34,44,men,419282
34,44,women,444867
34,45,men,411352
34,45,women,438723
34,46,men,410302
34,46,women,441158
34,47,men,396848
34,47,women,428807
34,48,men,392261
34,48,women,420072
34,49,men,388295
34,49,women,414986
34,50,men,373572
34,50,women,400192
34,51,men,371300
34,51,women,397407
34,52,men,368597
34,52,women,391906
34,53,men,369822
34,53,women,394142
34,54,men,370198
34,54,women,392370
34,55,men,354664
34,55,women,373506
34,56,men,330088
34,56,women,345325
34,57,men,322792
34,57,women,336656
34,58,men,327642
34,58,women,341511
34,59,men,332365
34,59,women,346655
34,60,men,334078
34,60,women,348902
34,61,men,344790
34,61,women,359960
34,62,men,354824
34,62,women,371545
34,63,men,363443
34,63,women,384658
34,64,men,351999
34,64,women,372598
34,65,men,356765
34,65,women,378446
34,66,men,352438
34,66,women,375298
34,67,men,352028
34,67,women,374426
34,68,men,345184
34,68,women,371913
34,69,men,342031
34,69,women,369887
34,70,men,333116
34,70,women,361798
34,71,men,321092
34,71,women,349866
34,72,men,308760
34,72,women,338142
34,73,men,293692
34,73,women,320698
34,74,men,276259
34,74,women,303836
34,75,men,262827
34,75,women,292058
34,76,men,249566
34,76,women,279262
34,77,men,232066
34,77,women,264003
34,78,men,216917
34,78,women,248222
34,79,men,200411
34,79,women,234226
34,80,men,192443
34,80,women,228943
34,81,men,181262
34,81,women,217450
34,82,men,166510
34,82,women,205029
34,83,men,158396
34,83,women,197495
34,84,men,149917
34,84,women,191882
34,85,men,142792
34,85,women,185450
34,86,men,138220
34,86,women,184044
34,87,men,136533
34,87,women,184584
34,88,men,92968
34,88,women,129923
34,89,men,79228
34,89,women,113976
34,90,men,68392
34,90,women,101081
34,91,men,53477
34,91,women,82534
34,92,men,39665
34,92,women,63839
34,93,men,28761
34,93,women,48546
34,94,men,23899
34,94,women,41930
34,95,men,18390
34,95,women,33729
34,96,men,13482
34,96,women,25847
34,97,men,9318
34,97,women,18826
34,98,men,6170
34,98,women,13246
34,99,men,9263
34,99,women,22827
35,30,men,420491
35,30,women,398876
35,31,men,425832
35,31,women,403572
35,32,men,423982
35,32,women,403932
35,33,men,419673
35,33,women,408426
35,34,men,417192
35,34,women,410386
35,35,men,419238
35,35,women,414384
35,36,men,425176
35,36,women,424680
35,37,men,422168
35,37,women,425179
35,38,men,424700
35,38,women,431294
35,39,men,418044
35,39,women,427350
35,40,men,419712
35,40,women,433736
35,41,men,424452
35,41,women,442024
35,42,men,419908
35,42,women,439653
35,43,men,425440
35,43,women,447400
35,44,men,425840
35,44,women,448348
35,45,men,419034
35,45,women,445005
35,46,men,411006
35,46,women,438718
35,47,men,409850
35,47,women,441074
35,48,men,396310
35,48,women,428618
35,49,men,391628
35,49,women,419782
35,50,men,387574
35,50,women,414595
35,51,men,372758
35,51,women,399686
35,52,men,370346
35,52,women,396752
35,53,men,367500
35,53,women,391142
35,54,men,368552
35,54,women,393226
35,55,men,368754
35,55,women,391328
35,56,men,353143
35,56,women,372441
35,57,men,328538
35,57,women,344235
35,58,men,321120
35,58,women,335514
35,59,men,325786
35,59,women,340244
35,60,men,330302
35,60,women,345228
35,61,men,331778
35,61,women,347336
35,62,men,342184
35,62,women,358176
35,63,men,351894
35,63,women,369530
35,64,men,360148
35,64,women,382414
35,65,men,348500
35,65,women,370254
35,66,men,352902
35,66,women,375880
35,67,men,348304
35,67,women,372543
35,68,men,347566
35,68,women,371409
35,69,men,340426
35,69,women,368604
35,70,men,336866
35,70,women,366254
35,71,men,327588
35,71,women,357851
35,72,men,315234
35,72,women,345614
35,73,men,302534
35,73,women,333546
35,74,men,287105
35,74,women,315831
35,75,men,269372
35,75,women,298693
35,76,men,255544
35,76,women,286500
35,77,men,241879
35,77,women,273284
35,78,men,224100
35,78,women,257636
35,79,men,208601
35,79,women,241464
35,80,men,191828
35,80,women,227005
35,81,men,183202
35,81,women,220918
35,82,men,171482
35,82,women,208775
35,83,men,156373
35,83,women,195688
35,84,men,147503
35,84,women,187190
35,85,men,138262
35,85,women,180405
35,86,men,130272
35,86,women,172766
35,87,men,124606
35,87,women,169691
35,88,men,121460
35,88,women,168200
35,89,men,81509
35,89,women,116854
35,90,men,68363
35,90,women,101040
35,91,men,57973
35,91,women,88160
35,92,men,44443
35,92,women,70684
35,93,men,32249
35,93,women,53582
35,94,men,22819
35,94,women,39853
35,95,men,18458
35,95,women,33598
35,96,men,13788
35,96,women,26304
35,97,men,9786
35,97,women,19547
35,98,men,6527
35,98,women,13753
35,99,men,9793
35,99,women,23712
36,30,men,418750
36,30,women,398932
36,31,men,425232
36,31,women,403508
36,32,men,429928
36,32,women,407497
36,33,men,427300
36,33,women,407130
36,34,men,422756
36,34,women,411331
36,35,men,419938
36,35,women,412947
36,36,men,421449
36,36,women,416520
36,37,men,426914
36,37,women,426472
36,38,men,423485
36,38,women,426646
36,39,men,425702
36,39,women,432542
36,40,men,418760
36,40,women,428456
36,41,men,420137
36,41,women,434662
36,42,men,424673
36,42,women,442699
36,43,men,419973
36,43,women,440136
36,44,men,425335
36,44,women,447731
36,45,men,425581
36,45,women,448483
36,46,men,418676
36,46,women,444996
36,47,men,410556
36,47,women,438640
36,48,men,409286
36,48,women,440868
36,49,men,395671
36,49,women,428318
36,50,men,390902
36,50,women,419384
36,51,men,386726
36,51,women,414066
36,52,men,371810
36,52,women,399034
36,53,men,369256
36,53,women,395986
36,54,men,366253
36,54,women,390242
36,55,men,367127
36,55,women,392184
36,56,men,367178
36,56,women,390212
36,57,men,351496
36,57,women,371271
36,58,men,326856
36,58,women,343081
36,59,men,319324
36,59,women,334289
36,60,men,323789
36,60,women,338862
36,61,men,328058
36,61,women,343702
36,62,men,329306
36,62,women,345642
36,63,men,339394
36,63,women,356262
36,64,men,348734
36,64,women,367398
36,65,men,356610
36,65,women,380033
36,66,men,344766
36,66,women,367773
36,67,men,348806
36,67,women,373151
36,68,men,343937
36,68,women,369574
36,69,men,342830
36,69,women,368142
36,70,men,335340
36,70,women,365024
36,71,men,331336
36,71,women,362300
36,72,men,321675
36,72,women,353547
36,73,men,308945
36,73,women,340966
36,74,men,295822
36,74,women,328538
36,75,men,280025
36,75,women,310540
36,76,men,261988
36,76,women,293067
36,77,men,247758
36,77,women,280430
36,78,men,233664
36,78,women,266759
36,79,men,215598
36,79,women,250692
36,80,men,199757
36,80,women,234092
36,81,men,182709
36,81,women,219124
36,82,men,173411
36,82,women,212186
36,83,men,161136
36,83,women,199348
36,84,men,145714
36,84,women,185564
36,85,men,136134
36,85,women,176088
36,86,men,126242
36,86,women,168170
36,87,men,117552
36,87,women,159404
36,88,men,110969
36,88,women,154750
36,89,men,106622
36,89,women,151419
36,90,men,70422
36,90,women,103692
36,91,men,58029
36,91,women,88214
36,92,men,48249
36,92,women,75582
36,93,men,36186
36,93,women,59391
36,94,men,25624
36,94,women,44036
36,95,men,17650
36,95,women,31970
36,96,men,13861
36,96,women,26233
36,97,men,10024
36,97,women,19918
36,98,men,6866
36,98,women,14300
36,99,men,10375
36,99,women,24672
37,30,men,424812
37,30,women,404731
37,31,men,423496
37,31,women,403564
37,32,men,429332
37,32,women,407431
37,33,men,433246
37,33,women,410693
37,34,men,430379
37,34,women,410038
37,35,men,425500
37,35,women,413892
37,36,men,422153
37,36,women,415088
37,37,men,423195
37,37,women,418324
37,38,men,428232
37,38,women,427944
37,39,men,424492
37,39,women,427896
37,40,men,426410
37,40,women,433642
37,41,men,419192
37,41,women,429390
37,42,men,420370
37,42,women,435349
37,43,men,424740
37,43,women,443187
37,44,men,419886
37,44,women,440482
37,45,men,425082
37,45,women,447867
37,46,men,425212
37,46,women,448472
37,47,men,418214
37,47,women,444916
37,48,men,409996
37,48,women,438442
37,49,men,408620
37,49,women,440550
37,50,men,394942
37,50,women,427910
37,51,men,390050
37,51,women,418850
37,52,men,385741
37,52,women,413392
37,53,men,370725
37,53,women,398274
37,54,men,368014
37,54,women,395084
37,55,men,364851
37,55,women,389218
37,56,men,365570
37,56,women,391072
37,57,men,365474
37,57,women,388988
37,58,men,349713
37,58,women,370032
37,59,men,325052
37,59,women,341842
37,60,men,317392
37,60,women,332950
37,61,men,321616
37,61,women,337384
37,62,men,325647
37,62,women,342052
37,63,men,326660
37,63,women,343823
37,64,men,336386
37,64,women,354236
37,65,men,345342
37,65,women,365138
37,66,men,352834
37,66,women,377514
37,67,men,340809
37,67,women,365136
37,68,men,344480
37,68,women,370210
37,69,men,339302
37,69,women,366359
37,70,men,337766
37,70,women,364606
37,71,men,329896
37,71,women,361128
37,72,men,325420
37,72,women,357990
37,73,men,315328
37,73,women,348841
37,74,men,302164
37,74,women,335899
37,75,men,288604
37,75,women,323090
37,76,men,272430
37,76,women,304751
37,77,men,254091
37,77,women,286924
37,78,men,239434
37,78,women,273806
37,79,men,224894
37,79,women,259644
37,80,men,206554
37,80,women,243117
37,81,men,190360
37,81,women,226045
37,82,men,173042
37,82,women,210548
37,83,men,163049
37,83,women,202694
37,84,men,150251
37,84,women,189128
37,85,men,134580
37,85,women,174656
37,86,men,124400
37,86,women,164248
37,87,men,114020
37,87,women,155273
37,88,men,104795
37,88,women,145482
37,89,men,97524
37,89,women,139434
37,90,men,92240
37,90,women,134496
37,91,men,59860
37,91,women,90625
37,92,men,48367
37,92,women,75712
37,93,men,39345
37,93,women,63580
37,94,men,28797
37,94,women,48868
37,95,men,19851
37,95,women,35368
37,96,men,13275
37,96,women,24993
37,97,men,10094
37,97,women,19890
37,98,men,7045
37,98,women,14591
37,99,men,10977
37,99,women,25705
38,30,men,437090
38,30,women,417579
38,31,men,429556
38,31,women,409362
38,32,men,427598
38,32,women,407490
38,33,men,432651
38,33,women,410628
38,34,men,436322
38,34,women,413601
38,35,men,433120
38,35,women,412602
38,36,men,427716
38,36,women,416034
38,37,men,423905
38,37,women,416898
38,38,men,424522
38,38,women,419806
38,39,men,429241
38,39,women,429199
38,40,men,425206
38,40,women,429002
38,41,men,426834
38,41,women,434573
38,42,men,419432
