year,age,sex,pops
4,45,men,346402
4,45,women,348042
4,46,men,341071
4,46,women,342212
4,47,men,326420
4,47,women,330434
4,48,men,315047
4,48,women,319687
4,49,men,305421
4,49,women,311297
4,50,men,306448
4,50,women,312941
4,51,men,303958
4,51,women,308986
4,52,men,300033
4,52,women,305616
4,53,men,301728
4,53,women,307323
4,54,men,309238
4,54,women,317093
4,55,men,320047
4,55,women,326375
4,56,men,341898
4,56,women,349010
4,57,men,364715
4,57,women,371279
4,58,men,292235
4,58,women,299007
4,59,men,285308
4,59,women,292239
4,60,men,280249
4,60,women,287100
4,61,men,265250
4,61,women,273689
4,62,men,237223
4,62,women,247441
4,63,men,219891
4,63,women,230738
4,64,men,228813
4,64,women,241130
4,65,men,227871
4,65,women,241833
4,66,men,224452
4,66,women,238408
4,67,men,216479
4,67,women,232063
4,68,men,207978
4,68,women,225656
4,69,men,199743
4,69,women,218889
4,70,men,188389
4,70,women,210090
4,71,men,183669
4,71,women,208775
4,72,men,181279
4,72,women,209529
4,73,men,175707
4,73,women,210155
4,74,men,166591
4,74,women,205191
4,75,men,156256
4,75,women,196468
4,76,men,146164
4,76,women,187738
4,77,men,139375
4,77,women,183585
4,78,men,130683
4,78,women,178518
4,79,men,120086
4,79,women,171555
4,80,men,110419
4,80,women,165557
4,81,men,101391
4,81,women,159443
4,82,men,95743
4,82,women,157818
4,83,men,89142
4,83,women,155988
4,84,men,78418
4,84,women,141824
4,85,men,53798
4,85,women,101477
4,86,men,38308
4,86,women,78427
4,87,men,36283
4,87,women,78738
4,88,men,31295
4,88,women,73550
4,89,men,27942
4,89,women,69411
4,90,men,23620
4,90,women,60604
4,91,men,18060
4,91,women,50375
4,92,men,13570
4,92,women,39786
4,93,men,9630
4,93,women,31117
4,94,men,6720
4,94,women,24088
4,95,men,4570
4,95,women,18348
4,96,men,3140
4,96,women,13569
4,97,men,1950
4,97,women,9229
4,98,men,1190
4,98,women,6159
4,99,men,1530
4,99,women,10460
5,30,men,331501
5,30,women,331999
5,31,men,339194
5,31,women,339369
5,32,men,356659
5,32,women,357224
5,33,men,369910
5,33,women,374897
5,34,men,380491
5,34,women,386975
5,35,men,377961
5,35,women,379902
5,36,men,385994
5,36,women,391093
5,37,men,389622
5,37,women,392396
5,38,men,399488
5,38,women,399068
5,39,men,397927
5,39,women,401545
5,40,men,397950
5,40,women,403421
5,41,men,392638
5,41,women,399235
5,42,men,384331
5,42,women,391663
5,43,men,376536
5,43,women,382125
5,44,men,366007
5,44,women,369931
5,45,men,352148
5,45,women,355346
5,46,men,345837
5,46,women,347631
5,47,men,340076
5,47,women,341543
5,48,men,325486
5,48,women,329854
5,49,men,314257
5,49,women,319097
5,50,men,304769
5,50,women,310016
5,51,men,305893
5,51,women,311715
5,52,men,303545
5,52,women,307969
5,53,men,299077
5,53,women,304060
5,54,men,300946
5,54,women,305817
5,55,men,307717
5,55,women,315304
5,56,men,318071
5,56,women,324287
5,57,men,339203
5,57,women,346333
5,58,men,363244
5,58,women,369940
5,59,men,289701
5,59,women,296324
5,60,men,281946
5,60,women,289389
5,61,men,277581
5,61,women,284874
5,62,men,262037
5,62,women,271115
5,63,men,234045
5,63,women,244912
5,64,men,216133
5,64,women,227732
5,65,men,224824
5,65,women,238540
5,66,men,223765
5,66,women,239220
5,67,men,220215
5,67,women,235649
5,68,men,211848
5,68,women,228919
5,69,men,203189
5,69,women,222342
5,70,men,194876
5,70,women,215624
5,71,men,183129
5,71,women,206576
5,72,men,178056
5,72,women,204603
5,73,men,175232
5,73,women,205146
5,74,men,169278
5,74,women,205116
5,75,men,160031
5,75,women,199735
5,76,men,149004
5,76,women,190387
5,77,men,138752
5,77,women,181453
5,78,men,131382
5,78,women,176547
5,79,men,122315
5,79,women,170641
5,80,men,111833
5,80,women,163336
5,81,men,101933
5,81,women,156676
5,82,men,92885
5,82,women,150160
5,83,men,86752
5,83,women,147373
5,84,men,79522
5,84,women,144441
5,85,men,68828
5,85,women,129279
5,86,men,47639
5,86,women,92859
5,87,men,32832
5,87,women,70255
5,88,men,30597
5,88,women,69508
5,89,men,25825
5,89,women,63631
5,90,men,23969
5,90,women,59715
5,91,men,18839
5,91,women,50995
5,92,men,14109
5,92,women,41546
5,93,men,10309
5,93,women,32087
5,94,men,7210
5,94,women,24418
5,95,men,4860
5,95,women,18318
5,96,men,3240
5,96,women,13699
5,97,men,2080
5,97,women,9889
5,98,men,1250
5,98,women,6479
5,99,men,1670
5,99,women,10770
6,30,men,325520
6,30,women,326949
6,31,men,332912
6,31,women,336050
6,32,men,340688
6,32,women,342946
6,33,men,357955
6,33,women,359854
6,34,men,371045
6,34,women,376952
6,35,men,382195
6,35,women,388495
6,36,men,378699
6,36,women,380675
6,37,men,386602
6,37,women,391725
6,38,men,389531
6,38,women,393096
6,39,men,399138
6,39,women,399229
6,40,men,396224
6,40,women,401007
6,41,men,396140
6,41,women,402811
6,42,men,391402
6,42,women,398770
6,43,men,383185
6,43,women,390881
6,44,men,375896
6,44,women,381513
6,45,men,365843
6,45,women,369123
6,46,men,352058
6,46,women,354587
6,47,men,345608
6,47,women,346833
6,48,men,339465
6,48,women,340620
6,49,men,324737
6,49,women,329004
6,50,men,313151
6,50,women,318080
6,51,men,303222
6,51,women,308828
6,52,men,304372
6,52,women,310515
6,53,men,302272
6,53,women,306929
6,54,men,297103
6,54,women,302560
6,55,men,299192
6,55,women,304599
6,56,men,305391
6,56,women,313959
6,57,men,315704
6,57,women,322767
6,58,men,336263
6,58,women,344223
6,59,men,361389
6,59,women,368827
6,60,men,286086
6,60,women,293498
6,61,men,278277
6,61,women,286575
6,62,men,274706
6,62,women,282899
6,63,men,258442
6,63,women,268633
6,64,men,230594
6,64,women,242593
6,65,men,211600
6,65,women,223923
6,66,men,220453
6,66,women,235092
6,67,men,219338
6,67,women,235387
6,68,men,215648
6,68,women,231773
6,69,men,206859
6,69,women,224970
6,70,men,198278
6,70,women,218417
6,71,men,189754
6,71,women,211677
6,72,men,177583
6,72,women,202511
6,73,men,172139
6,73,women,199758
6,74,men,168944
6,74,women,200149
6,75,men,162578
6,75,women,199549
6,76,men,153056
6,76,women,193815
6,77,men,141895
6,77,women,183882
6,78,men,131213
6,78,women,174537
6,79,men,123626
6,79,women,169050
6,80,men,114257
6,80,women,162866
6,81,men,103584
6,81,women,154990
6,82,men,93583
6,82,women,147706
6,83,men,84452
6,83,women,140877
6,84,men,78225
6,84,women,136542
6,85,men,70396
6,85,women,132773
6,86,men,59925
6,86,women,116971
6,87,men,41963
6,87,women,84430
6,88,men,27885
6,88,women,62162
6,89,men,25575
6,89,women,60687
6,90,men,23106
6,90,women,56468
6,91,men,19027
6,91,women,50258
6,92,men,14478
6,92,women,41949
6,93,men,10658
6,93,women,33429
6,94,men,7699
6,94,women,25299
6,95,men,5169
6,95,women,18779
6,96,men,3419
6,96,women,13730
6,97,men,2150
6,97,women,10020
6,98,men,1390
6,98,women,7030
6,99,men,1820
6,99,women,11300
7,30,men,320975
7,30,women,319309
7,31,men,326665
7,31,women,328051
7,32,men,333768
7,32,women,336998
7,33,men,341506
7,33,women,343411
7,34,men,358765
7,34,women,360173
7,35,men,373989
7,35,women,377785
7,36,men,384743
7,36,women,389750
7,37,men,380564
7,37,women,381444
7,38,men,387903
7,38,women,392365
7,39,men,390192
7,39,women,393556
7,40,men,398080
7,40,women,399962
7,41,men,395160
7,41,women,401865
7,42,men,395102
7,42,women,403728
7,43,men,390585
7,43,women,399562
7,44,men,382733
7,44,women,391248
7,45,men,373791
7,45,women,381327
7,46,men,363583
7,46,women,368586
7,47,men,349995
7,47,women,354111
7,48,men,343332
7,48,women,346302
7,49,men,337079
7,49,women,339911
7,50,men,323567
7,50,women,327730
7,51,men,312148
7,51,women,316797
