year,age,sex,dimd,pop_size
2002,10,women,5,30119
2002,10,women,6,29577
2002,10,women,7,29486
2002,10,women,8,29327
2002,10,women,9,30525
2002,10,women,10 least deprived,32136
2002,11,men,1 most deprived,40520
2002,11,men,2,37139
2002,11,men,3,34371
2002,11,men,4,32790
2002,11,men,5,32073
2002,11,men,6,31577
2002,11,men,7,31877
2002,11,men,8,31325
2002,11,men,9,33033
2002,11,men,10 least deprived,34899
2002,11,women,1 most deprived,38956
2002,11,women,2,35428
2002,11,women,3,32919
2002,11,women,4,30927
2002,11,women,5,30577
2002,11,women,6,30017
2002,11,women,7,30143
2002,11,women,8,30250
2002,11,women,9,31426
2002,11,women,10 least deprived,33157
2002,12,men,1 most deprived,39445
2002,12,men,2,36090
2002,12,men,3,33460
2002,12,men,4,32422
2002,12,men,5,31240
2002,12,men,6,31402
2002,12,men,7,31344
2002,12,men,8,31062
2002,12,men,9,32472
2002,12,men,10 least deprived,34409
2002,12,women,1 most deprived,37698
2002,12,women,2,34587
2002,12,women,3,32093
2002,12,women,4,30339
2002,12,women,5,29971
2002,12,women,6,29510
2002,12,women,7,29634
2002,12,women,8,29788
2002,12,women,9,31021
2002,12,women,10 least deprived,32734
2002,13,men,1 most deprived,38233
2002,13,men,2,35540
2002,13,men,3,32811
2002,13,men,4,31794
2002,13,men,5,31024
2002,13,men,6,30571
2002,13,men,7,30816
2002,13,men,8,30928
2002,13,men,9,32612
2002,13,men,10 least deprived,34007
2002,13,women,1 most deprived,37243
2002,13,women,2,34352
2002,13,women,3,31321
2002,13,women,4,30069
2002,13,women,5,29619
2002,13,women,6,29504
2002,13,women,7,29595
2002,13,women,8,29567
2002,13,women,9,30616
2002,13,women,10 least deprived,32079
2002,14,men,1 most deprived,38607
2002,14,men,2,35646
2002,14,men,3,33236
2002,14,men,4,31747
2002,14,men,5,31366
2002,14,men,6,30903
2002,14,men,7,31620
2002,14,men,8,31572
2002,14,men,9,32367
2002,14,men,10 least deprived,34253
2002,14,women,1 most deprived,37615
2002,14,women,2,34432
2002,14,women,3,32163
2002,14,women,4,30786
2002,14,women,5,29782
2002,14,women,6,29860
2002,14,women,7,29833
2002,14,women,8,29783
2002,14,women,9,30754
2002,14,women,10 least deprived,32321
2002,15,men,1 most deprived,37692
2002,15,men,2,34653
2002,15,men,3,32634
2002,15,men,4,31209
2002,15,men,5,30545
2002,15,men,6,30500
2002,15,men,7,30562
2002,15,men,8,30495
2002,15,men,9,31944
2002,15,men,10 least deprived,32645
2002,15,women,1 most deprived,36876
2002,15,women,2,33931
2002,15,women,3,31456
2002,15,women,4,29651
2002,15,women,5,29255
2002,15,women,6,29074
2002,15,women,7,29133
2002,15,women,8,28970
2002,15,women,9,29782
2002,15,women,10 least deprived,31463
2002,16,men,1 most deprived,37278
2002,16,men,2,34443
2002,16,men,3,32152
2002,16,men,4,31135
2002,16,men,5,30743
2002,16,men,6,30288
2002,16,men,7,30543
2002,16,men,8,30239
2002,16,men,9,31634
2002,16,men,10 least deprived,32905
2002,16,women,1 most deprived,36138
2002,16,women,2,33115
2002,16,women,3,30927
2002,16,women,4,29564
2002,16,women,5,28965
2002,16,women,6,28505
2002,16,women,7,28564
2002,16,women,8,28418
2002,16,women,9,29699
2002,16,women,10 least deprived,31033
2002,17,men,1 most deprived,37515
2002,17,men,2,34924
2002,17,men,3,33077
2002,17,men,4,31536
2002,17,men,5,30617
2002,17,men,6,30308
2002,17,men,7,31229
2002,17,men,8,30783
2002,17,men,9,32480
2002,17,men,10 least deprived,32705
2002,17,women,1 most deprived,36509
2002,17,women,2,33523
2002,17,women,3,31026
2002,17,women,4,29582
2002,17,women,5,28844
2002,17,women,6,28472
2002,17,women,7,28945
2002,17,women,8,28513
2002,17,women,9,29311
2002,17,women,10 least deprived,30998
2002,18,men,1 most deprived,36006
2002,18,men,2,33696
2002,18,men,3,32040
2002,18,men,4,30529
2002,18,men,5,30052
2002,18,men,6,29478
2002,18,men,7,30327
2002,18,men,8,30226
2002,18,men,9,31468
2002,18,men,10 least deprived,31528
2002,18,women,1 most deprived,35756
2002,18,women,2,32459
2002,18,women,3,30449
2002,18,women,4,29157
2002,18,women,5,27843
2002,18,women,6,27151
2002,18,women,7,27841
2002,18,women,8,27633
2002,18,women,9,28868
2002,18,women,10 least deprived,29435
2002,19,men,1 most deprived,37024
2002,19,men,2,34243
2002,19,men,3,32843
2002,19,men,4,32537
2002,19,men,5,30014
2002,19,men,6,27722
2002,19,men,7,29436
2002,19,men,8,28647
2002,19,men,9,29925
2002,19,men,10 least deprived,26735
2002,19,women,1 most deprived,37492
2002,19,women,2,34468
2002,19,women,3,33052
2002,19,women,4,31695
2002,19,women,5,28057
2002,19,women,6,25358
2002,19,women,7,26591
2002,19,women,8,25894
2002,19,women,9,26583
2002,19,women,10 least deprived,24086
2002,20,men,1 most deprived,35069
2002,20,men,2,34114
2002,20,men,3,34024
2002,20,men,4,34136
2002,20,men,5,30098
2002,20,men,6,28185
2002,20,men,7,28212
2002,20,men,8,26589
2002,20,men,9,25923
2002,20,men,10 least deprived,22936
2002,20,women,1 most deprived,40236
2002,20,women,2,36515
2002,20,women,3,35933
2002,20,women,4,35295
2002,20,women,5,29672
2002,20,women,6,26152
2002,20,women,7,25966
2002,20,women,8,24522
2002,20,women,9,22431
2002,20,women,10 least deprived,20023
2002,21,men,1 most deprived,35531
2002,21,men,2,35304
2002,21,men,3,36329
2002,21,men,4,35828
2002,21,men,5,31868
2002,21,men,6,29941
2002,21,men,7,29524
2002,21,men,8,27846
2002,21,men,9,26127
2002,21,men,10 least deprived,23403
2002,21,women,1 most deprived,41247
2002,21,women,2,38677
2002,21,women,3,38066
2002,21,women,4,36404
2002,21,women,5,31693
2002,21,women,6,27949
2002,21,women,7,27387
2002,21,women,8,26097
2002,21,women,9,23393
2002,21,women,10 least deprived,21113
2002,22,men,1 most deprived,35603
2002,22,men,2,35923
2002,22,men,3,36660
2002,22,men,4,36146
2002,22,men,5,32478
2002,22,men,6,30400
2002,22,men,7,28899
2002,22,men,8,28051
2002,22,men,9,26696
2002,22,men,10 least deprived,23928
2002,22,women,1 most deprived,40724
2002,22,women,2,39250
2002,22,women,3,38183
2002,22,women,4,36187
2002,22,women,5,31900
2002,22,women,6,29292
2002,22,women,7,27590
2002,22,women,8,26425
2002,22,women,9,24773
2002,22,women,10 least deprived,22165
2002,23,men,1 most deprived,33715
2002,23,men,2,34644
2002,23,men,3,35962
2002,23,men,4,34723
2002,23,men,5,31710
2002,23,men,6,29928
2002,23,men,7,28047
2002,23,men,8,27455
2002,23,men,9,26169
2002,23,men,10 least deprived,23932
2002,23,women,1 most deprived,37636
2002,23,women,2,37572
2002,23,women,3,37471
2002,23,women,4,35473
2002,23,women,5,31084
2002,23,women,6,28940
2002,23,women,7,27735
2002,23,women,8,26165
2002,23,women,9,24334
2002,23,women,10 least deprived,21722
2002,24,men,1 most deprived,31927
2002,24,men,2,33112
2002,24,men,3,34317
2002,24,men,4,33331
2002,24,men,5,30933
2002,24,men,6,29011
2002,24,men,7,27104
2002,24,men,8,26359
2002,24,men,9,25107
2002,24,men,10 least deprived,22875
2002,24,women,1 most deprived,35200
2002,24,women,2,35778
2002,24,women,3,35947
2002,24,women,4,33827
2002,24,women,5,30360
2002,24,women,6,28924
2002,24,women,7,26540
2002,24,women,8,25436
2002,24,women,9,23635
2002,24,women,10 least deprived,20328
2002,25,men,1 most deprived,32692
2002,25,men,2,34324
2002,25,men,3,34803
2002,25,men,4,33701
2002,25,men,5,31020
2002,25,men,6,29597
2002,25,men,7,27107
2002,25,men,8,26495
2002,25,men,9,25216
2002,25,men,10 least deprived,21696
2002,25,women,1 most deprived,34840
2002,25,women,2,36040
2002,25,women,3,36112
2002,25,women,4,33399
2002,25,women,5,30626
2002,25,women,6,29104
2002,25,women,7,26497
2002,25,women,8,25296
2002,25,women,9,23901
2002,25,women,10 least deprived,20327
2002,26,men,1 most deprived,33644
2002,26,men,2,36083
2002,26,men,3,36983
2002,26,men,4,35426
2002,26,men,5,32636
2002,26,men,6,30856
2002,26,men,7,28565
2002,26,men,8,27404
2002,26,men,9,25500
2002,26,men,10 least deprived,21292
2002,26,women,1 most deprived,35374
2002,26,women,2,37211
2002,26,women,3,36862
2002,26,women,4,34863
2002,26,women,5,31459
2002,26,women,6,29948
2002,26,women,7,27857
2002,26,women,8,26565
2002,26,women,9,24661
2002,26,women,10 least deprived,20551
2002,27,men,1 most deprived,34632
2002,27,men,2,37303
2002,27,men,3,38108
2002,27,men,4,37094
2002,27,men,5,33505
2002,27,men,6,32528
2002,27,men,7,29966
2002,27,men,8,29133
2002,27,men,9,26747
2002,27,men,10 least deprived,22119
2002,27,women,1 most deprived,35639
2002,27,women,2,37564
2002,27,women,3,37826
2002,27,women,4,36053
2002,27,women,5,33359
2002,27,women,6,31909
2002,27,women,7,29200
2002,27,women,8,28052
2002,27,women,9,26310
2002,27,women,10 least deprived,21997
2002,28,men,1 most deprived,35074
2002,28,men,2,37729
2002,28,men,3,39034
2002,28,men,4,38127
2002,28,men,5,35363
2002,28,men,6,33727
2002,28,men,7,31396
2002,28,men,8,30124
2002,28,men,9,28106
2002,28,men,10 least deprived,23417
2002,28,women,1 most deprived,36059
2002,28,women,2,38373
2002,28,women,3,38268
2002,28,women,4,37092
2002,28,women,5,34517
2002,28,women,6,33215
2002,28,women,7,30890
2002,28,women,8,29868
2002,28,women,9,28431
2002,28,women,10 least deprived,23606
2002,29,men,1 most deprived,36636
2002,29,men,2,39644
2002,29,men,3,41230
2002,29,men,4,40345
2002,29,men,5,37434
2002,29,men,6,35834
2002,29,men,7,33777
2002,29,men,8,32266
2002,29,men,9,30475
2002,29,men,10 least deprived,25142
2002,29,women,1 most deprived,37901
2002,29,women,2,39710
2002,29,women,3,39727
2002,29,women,4,38642
2002,29,women,5,36146
2002,29,women,6,35547
2002,29,women,7,33425
2002,29,women,8,32332
2002,29,women,9,30278
2002,29,women,10 least deprived,26419
2002,30,men,1 most deprived,38529
2002,30,men,2,40486
2002,30,men,3,41539
2002,30,men,4,40749
2002,30,men,5,38020
2002,30,men,6,37067
2002,30,men,7,35392
2002,30,men,8,34315
2002,30,men,9,32266
2002,30,men,10 least deprived,28534
2002,30,women,1 most deprived,39768
2002,30,women,2,41075
2002,30,women,3,41446
2002,30,women,4,40320
2002,30,women,5,37894
2002,30,women,6,36941
2002,30,women,7,35497
2002,30,women,8,34585
2002,30,women,9,33357
2002,30,women,10 least deprived,29608
2002,31,men,1 most deprived,39168
2002,31,men,2,41599
2002,31,men,3,42159
2002,31,men,4,41514
2002,31,men,5,38926
2002,31,men,6,37888
2002,31,men,7,36189
2002,31,men,8,35643
2002,31,men,9,34181
2002,31,men,10 least deprived,29836
2002,31,women,1 most deprived,40256
2002,31,women,2,41959
2002,31,women,3,41769
2002,31,women,4,40660
2002,31,women,5,38902
2002,31,women,6,38003
2002,31,women,7,36659
2002,31,women,8,36095
2002,31,women,9,35092
2002,31,women,10 least deprived,32049
2002,32,men,1 most deprived,38602
2002,32,men,2,41187
2002,32,men,3,41274
2002,32,men,4,40855
2002,32,men,5,38697
2002,32,men,6,37845
2002,32,men,7,36477
2002,32,men,8,35116
2002,32,men,9,34434
2002,32,men,10 least deprived,30425
2002,32,women,1 most deprived,39865
2002,32,women,2,41287
2002,32,women,3,40478
2002,32,women,4,39766
2002,32,women,5,38064
2002,32,women,6,37413
2002,32,women,7,36478
2002,32,women,8,35798
2002,32,women,9,35295
2002,32,women,10 least deprived,32839
2002,33,men,1 most deprived,38880
2002,33,men,2,41298
2002,33,men,3,41821
2002,33,men,4,41241
2002,33,men,5,39356
2002,33,men,6,38589
2002,33,men,7,37043
2002,33,men,8,36747
2002,33,men,9,35922
2002,33,men,10 least deprived,32697
2002,33,women,1 most deprived,39891
2002,33,women,2,41677
2002,33,women,3,41144
2002,33,women,4,40658
2002,33,women,5,39325
2002,33,women,6,38368
2002,33,women,7,37692
2002,33,women,8,37274
2002,33,women,9,37017
2002,33,women,10 least deprived,35048
2002,34,men,1 most deprived,38653
2002,34,men,2,41397
2002,34,men,3,41745
2002,34,men,4,40956
2002,34,men,5,39236
2002,34,men,6,38745
2002,34,men,7,37793
2002,34,men,8,37903
2002,34,men,9,36784
2002,34,men,10 least deprived,33797
2002,34,women,1 most deprived,39220
2002,34,women,2,41360
2002,34,women,3,41043
2002,34,women,4,40136
2002,34,women,5,39036
2002,34,women,6,38914
2002,34,women,7,38260
2002,34,women,8,38170
2002,34,women,9,38558
2002,34,women,10 least deprived,36549
2002,35,men,1 most deprived,38243
2002,35,men,2,41486
2002,35,men,3,42164
2002,35,men,4,41317
2002,35,men,5,40204
2002,35,men,6,40327
2002,35,men,7,39552
2002,35,men,8,38989
2002,35,men,9,38821
2002,35,men,10 least deprived,36740
2002,35,women,1 most deprived,39271
2002,35,women,2,41276
2002,35,women,3,40472
2002,35,women,4,40438
2002,35,women,5,39663
2002,35,women,6,39748
2002,35,women,7,39535
2002,35,women,8,39770
2002,35,women,9,39850
2002,35,women,10 least deprived,39284
2002,36,men,1 most deprived,37622
2002,36,men,2,40568
2002,36,men,3,40654
2002,36,men,4,40933
2002,36,men,5,39782
2002,36,men,6,39798
2002,36,men,7,39703
2002,36,men,8,39627
2002,36,men,9,39830
2002,36,men,10 least deprived,38182
2002,36,women,1 most deprived,38286
2002,36,women,2,40698
2002,36,women,3,39933
2002,36,women,4,39897
2002,36,women,5,39725
2002,36,women,6,40253
2002,36,women,7,39973
2002,36,women,8,40412
2002,36,women,9,41111
2002,36,women,10 least deprived,41056
2002,37,men,1 most deprived,36991
2002,37,men,2,39225
2002,37,men,3,40091
2002,37,men,4,40219
2002,37,men,5,39891
2002,37,men,6,40518
2002,37,men,7,40204
2002,37,men,8,39954
2002,37,men,9,40248
2002,37,men,10 least deprived,39729
2002,37,women,1 most deprived,38499
2002,37,women,2,39737
2002,37,women,3,39661
2002,37,women,4,39755
2002,37,women,5,39809
2002,37,women,6,40145
2002,37,women,7,40549
2002,37,women,8,40614
2002,37,women,9,41593
2002,37,women,10 least deprived,42454
2002,38,men,1 most deprived,36221
2002,38,men,2,38295
2002,38,men,3,39262
2002,38,men,4,39584
2002,38,men,5,39236
2002,38,men,6,39772
2002,38,men,7,39644
2002,38,men,8,39427
2002,38,men,9,40757
2002,38,men,10 least deprived,40482
2002,38,women,1 most deprived,37020
2002,38,women,2,38838
2002,38,women,3,38867
2002,38,women,4,38866
2002,38,women,5,38952
2002,38,women,6,40288
2002,38,women,7,40483
2002,38,women,8,40595
2002,38,women,9,41785
2002,38,women,10 least deprived,43333
2002,39,men,1 most deprived,34918
2002,39,men,2,37153
2002,39,men,3,38019
2002,39,men,4,38237
2002,39,men,5,38855
2002,39,men,6,39258
2002,39,men,7,39127
2002,39,men,8,39166
2002,39,men,9,40333
2002,39,men,10 least deprived,40893
2002,39,women,1 most deprived,36382
2002,39,women,2,37779
2002,39,women,3,37889
2002,39,women,4,37930
2002,39,women,5,38487
2002,39,women,6,39042
2002,39,women,7,39792
2002,39,women,8,39909
2002,39,women,9,41727
2002,39,women,10 least deprived,42984
2002,40,men,1 most deprived,34597
2002,40,men,2,35786
2002,40,men,3,36669
2002,40,men,4,37065
2002,40,men,5,37289
2002,40,men,6,38085
2002,40,men,7,38417
2002,40,men,8,38196
2002,40,men,9,39880
2002,40,men,10 least deprived,40937
2002,40,women,1 most deprived,35488
2002,40,women,2,36481
2002,40,women,3,36815
2002,40,women,4,36786
2002,40,women,5,37570
2002,40,women,6,38263
2002,40,women,7,38824
2002,40,women,8,39069
2002,40,women,9,40278
2002,40,women,10 least deprived,42558
2002,41,men,1 most deprived,32852
2002,41,men,2,34643
2002,41,men,3,35197
2002,41,men,4,36115
2002,41,men,5,36790
2002,41,men,6,36990
2002,41,men,7,37714
2002,41,men,8,37921
2002,41,men,9,38650
2002,41,men,10 least deprived,40341
2002,41,women,1 most deprived,33988
2002,41,women,2,35210
2002,41,women,3,35289
2002,41,women,4,35506
2002,41,women,5,36095
2002,41,women,6,37363
2002,41,women,7,37798
2002,41,women,8,37935
2002,41,women,9,39710
2002,41,women,10 least deprived,42072
2002,42,men,1 most deprived,32056
2002,42,men,2,33043
2002,42,men,3,34067
2002,42,men,4,34065
2002,42,men,5,35107
2002,42,men,6,35823
2002,42,men,7,36120
2002,42,men,8,37040
2002,42,men,9,37917
2002,42,men,10 least deprived,39007
2002,42,women,1 most deprived,32636
2002,42,women,2,33694
2002,42,women,3,33483
2002,42,women,4,34082
2002,42,women,5,35003
2002,42,women,6,35725
2002,42,women,7,36769
2002,42,women,8,36694
2002,42,women,9,37959
2002,42,women,10 least deprived,40320
2002,43,men,1 most deprived,30632
2002,43,men,2,31846
2002,43,men,3,32966
2002,43,men,4,33492
2002,43,men,5,34314
2002,43,men,6,35299
2002,43,men,7,35850
2002,43,men,8,36065
2002,43,men,9,37551
2002,43,men,10 least deprived,38928
2002,43,women,1 most deprived,31212
2002,43,women,2,32424
2002,43,women,3,32546
2002,43,women,4,33409
2002,43,women,5,34655
2002,43,women,6,35269
2002,43,women,7,36107
2002,43,women,8,36212
2002,43,women,9,37706
2002,43,women,10 least deprived,39670
2002,44,men,1 most deprived,30230
2002,44,men,2,31190
2002,44,men,3,31670
2002,44,men,4,33187
2002,44,men,5,34040
2002,44,men,6,34981
2002,44,men,7,35200
2002,44,men,8,35891
2002,44,men,9,37321
2002,44,men,10 least deprived,38522
2002,44,women,1 most deprived,30852
2002,44,women,2,31511
2002,44,women,3,31842
2002,44,women,4,32581
2002,44,women,5,33663
2002,44,women,6,34554
2002,44,women,7,35856
2002,44,women,8,36184
2002,44,women,9,37402
2002,44,women,10 least deprived,39457
2002,45,men,1 most deprived,29635
2002,45,men,2,29626
2002,45,men,3,29936
2002,45,men,4,31182
2002,45,men,5,32117
2002,45,men,6,33515
2002,45,men,7,34356
2002,45,men,8,34404
2002,45,men,9,35430
2002,45,men,10 least deprived,37280
2002,45,women,1 most deprived,29714
2002,45,women,2,30058
2002,45,women,3,30366
2002,45,women,4,31595
2002,45,women,5,32829
2002,45,women,6,33867
2002,45,women,7,34730
2002,45,women,8,34826
2002,45,women,9,35930
2002,45,women,10 least deprived,38079
2002,46,men,1 most deprived,28061
2002,46,men,2,28237
2002,46,men,3,29112
2002,46,men,4,30423
2002,46,men,5,31072
2002,46,men,6,31956
2002,46,men,7,33013
2002,46,men,8,33092
2002,46,men,9,34506
2002,46,men,10 least deprived,36393
2002,46,women,1 most deprived,28362
2002,46,women,2,28916
2002,46,women,3,29263
2002,46,women,4,30508
2002,46,women,5,32204
2002,46,women,6,32646
2002,46,women,7,33773
2002,46,women,8,33837
2002,46,women,9,34641
2002,46,women,10 least deprived,37067
2002,47,men,1 most deprived,27009
2002,47,men,2,26938
2002,47,men,3,28255
2002,47,men,4,29049
2002,47,men,5,30104
2002,47,men,6,31679
2002,47,men,7,32493
2002,47,men,8,32535
2002,47,men,9,33583
2002,47,men,10 least deprived,35476
2002,47,women,1 most deprived,26958
2002,47,women,2,27492
2002,47,women,3,28387
2002,47,women,4,29839
2002,47,women,5,31391
2002,47,women,6,32117
2002,47,women,7,32920
2002,47,women,8,33354
2002,47,women,9,34652
2002,47,women,10 least deprived,36279
2002,48,men,1 most deprived,27042
2002,48,men,2,26747
2002,48,men,3,27986
2002,48,men,4,29509
2002,48,men,5,30673
2002,48,men,6,31814
2002,48,men,7,32777
2002,48,men,8,32779
2002,48,men,9,34115
2002,48,men,10 least deprived,35625
2002,48,women,1 most deprived,26975
2002,48,women,2,27371
2002,48,women,3,28309
2002,48,women,4,29921
2002,48,women,5,31376
2002,48,women,6,32468
2002,48,women,7,33691
2002,48,women,8,34010
2002,48,women,9,34975
2002,48,women,10 least deprived,36182
2002,49,men,1 most deprived,26759
2002,49,men,2,26400
2002,49,men,3,27445
2002,49,men,4,29108
2002,49,men,5,30395
2002,49,men,6,31618
2002,49,men,7,32894
2002,49,men,8,32907
2002,49,men,9,33742
2002,49,men,10 least deprived,35102
2002,49,women,1 most deprived,26356
2002,49,women,2,26348
2002,49,women,3,27670
2002,49,women,4,29339
2002,49,women,5,31179
2002,49,women,6,32314
2002,49,women,7,33773
2002,49,women,8,33744
2002,49,women,9,34619
2002,49,women,10 least deprived,36477
2002,50,men,1 most deprived,26722
2002,50,men,2,26631
2002,50,men,3,27266
2002,50,men,4,28625
2002,50,men,5,30008
2002,50,men,6,30966
2002,50,men,7,32325
2002,50,men,8,32485
2002,50,men,9,33617
2002,50,men,10 least deprived,35090
2002,50,women,1 most deprived,25782
2002,50,women,2,26179
2002,50,women,3,27705
2002,50,women,4,28810
2002,50,women,5,30828
2002,50,women,6,31977
2002,50,women,7,33495
2002,50,women,8,33710
2002,50,women,9,34558
2002,50,women,10 least deprived,36275
2002,51,men,1 most deprived,26326
2002,51,men,2,25894
2002,51,men,3,27477
2002,51,men,4,28831
2002,51,men,5,30286
2002,51,men,6,31800
2002,51,men,7,32631
2002,51,men,8,32753
2002,51,men,9,33866
2002,51,men,10 least deprived,35205
2002,51,women,1 most deprived,25555
2002,51,women,2,25687
2002,51,women,3,27145
2002,51,women,4,29124
2002,51,women,5,31273
2002,51,women,6,32602
2002,51,women,7,33932
2002,51,women,8,34258
